iter	Logloss
0	0.6828649714
1	0.6720242219
2	0.6630135767
3	0.6519688698
4	0.6420067696
5	0.6335054504
6	0.6248719877
7	0.6158823702
8	0.6090415343
9	0.6011160078
10	0.5934071726
11	0.5842859209
12	0.5765765529
13	0.5701644569
14	0.5638735257
15	0.5594887145
16	0.5528125724
17	0.5473597267
18	0.5412094013
19	0.5365235881
20	0.5301279047
21	0.5251071884
22	0.5206268293
23	0.5152390694
24	0.5108841265
25	0.5058198781
26	0.5017303005
27	0.49828988
28	0.4933391356
29	0.4892007068
30	0.4851948564
31	0.481219988
32	0.4772507843
33	0.4731850648
34	0.4705422331
35	0.4673665645
36	0.464212812
37	0.4610231774
38	0.4579054281
39	0.4545592295
40	0.4510577899
41	0.447550588
42	0.4451998713
43	0.4418619716
44	0.4389496351
45	0.4356977683
46	0.4326125792
47	0.4300164488
48	0.4278004153
49	0.4253588291
50	0.4231072085
51	0.4210397631
52	0.4183562986
53	0.416347151
54	0.4147007383
55	0.4127866143
56	0.4108438019
57	0.4089494754
58	0.4069095277
59	0.4053701695
60	0.404103043
61	0.4023455096
62	0.4005619902
63	0.3994303382
64	0.3974608627
65	0.395461872
66	0.3945234618
67	0.3920082415
68	0.3904255075
69	0.3892658204
70	0.3871266502
71	0.3862124563
72	0.3842907122
73	0.3825839307
74	0.381655458
75	0.379658842
76	0.3780932629
77	0.3767040997
78	0.3755777405
79	0.3741929434
80	0.3725811724
81	0.3714837214
82	0.3701115111
83	0.3690804784
84	0.3679042212
85	0.3663245353
86	0.3650615631
87	0.3643977298
88	0.3629468054
89	0.3612985199
90	0.3602562178
91	0.3598267828
92	0.3585241713
93	0.3574358748
94	0.3562516235
95	0.3554803127
96	0.3549289411
97	0.3540103596
98	0.3533376828
99	0.3521124849
100	0.3512147939
101	0.3505459457
102	0.3498504143
103	0.3488753317
104	0.3477349496
105	0.3470781364
106	0.3462737964
107	0.3453339719
108	0.3446171504
109	0.3438458583
110	0.3424859481
111	0.3413337751
112	0.3407675966
113	0.3402079862
114	0.339147753
115	0.3384124533
116	0.337749062
117	0.3370226043
118	0.3364278672
119	0.3356443562
120	0.3350146803
121	0.3344680209
122	0.3338287924
123	0.3329843331
124	0.3321642897
125	0.3317171714
126	0.3310650266
127	0.3302889725
128	0.3298454676
129	0.3292417176
130	0.3283993378
131	0.3279397657
132	0.3273196515
133	0.3270239805
134	0.3263586045
135	0.3257176827
136	0.3249936392
137	0.3245827813
138	0.3241171509
139	0.3233221956
140	0.3227191445
141	0.321899292
142	0.3211713648
143	0.320652478
144	0.3200388589
145	0.3195878786
146	0.3192753006
147	0.3189533816
148	0.3183754414
149	0.3182131796
150	0.3178406572
151	0.317239433
152	0.3166133204
153	0.3165235714
154	0.3161537638
155	0.3158456086
156	0.3153131755
157	0.314753754
158	0.3142819696
159	0.3139069511
160	0.3135238687
161	0.3131446977
162	0.3127780056
163	0.3123799977
164	0.3119400352
165	0.3114052415
166	0.3110459841
167	0.3104190075
168	0.3101605862
169	0.3097661146
170	0.3097033988
171	0.309269734
172	0.3088788922
173	0.3086353963
174	0.3083797044
175	0.3079454063
176	0.3076264272
177	0.3073196109
178	0.3066637666
179	0.3062174647
180	0.3058848329
181	0.3054153863
182	0.305014798
183	0.3047372927
184	0.3045690831
185	0.3043788617
186	0.3038110708
187	0.303538394
188	0.3031630263
189	0.3028259354
190	0.3024964967
191	0.3023315122
192	0.3019202099
193	0.3015727569
194	0.3010890209
195	0.3007803351
196	0.3004603561
197	0.3002591227
198	0.3000128383
199	0.2996741031
200	0.2994368583
201	0.2990968431
202	0.2989714466
203	0.2987242615
204	0.2982406635
205	0.2979476231
206	0.2976138637
207	0.2973438393
208	0.2968582442
209	0.2966055927
210	0.2962845856
211	0.2960439031
212	0.2956347942
213	0.2953776121
214	0.294984886
215	0.2947994109
216	0.2945823942
217	0.293999196
218	0.2937096081
219	0.2935884416
220	0.2933018111
221	0.2931934853
222	0.2929918361
223	0.2928490409
224	0.2926215329
225	0.2923852955
226	0.2921482892
227	0.291609166
228	0.2913092959
229	0.291030251
230	0.2907824629
231	0.290410168
232	0.2902378061
233	0.2899361769
234	0.2899188842
235	0.2896707356
