iter	Passed	Remaining
0	3	3000
1	6	3102
2	9	3270
3	13	3402
4	17	3531
5	21	3575
6	24	3451
7	26	3320
8	29	3221
9	32	3189
10	35	3161
11	37	3059
12	39	2998
13	42	2960
14	44	2948
15	46	2879
16	49	2861
17	52	2855
18	54	2812
19	58	2864
20	60	2840
21	63	2810
22	66	2811
23	70	2865
24	73	2866
25	75	2829
26	78	2845
27	81	2833
28	85	2851
29	88	2849
30	92	2876
31	95	2896
32	99	2909
33	102	2920
34	104	2894
35	108	2896
36	110	2887
37	113	2863
38	115	2837
39	117	2813
40	119	2791
41	122	2795
42	124	2774
43	127	2774
44	131	2785
45	134	2786
46	138	2811
47	142	2823
48	146	2844
49	149	2846
50	153	2854
51	156	2852
52	159	2856
53	162	2855
54	165	2843
55	168	2834
56	170	2828
57	174	2832
58	177	2823
59	179	2805
60	181	2798
61	184	2784
62	186	2779
63	189	2764
64	191	2758
65	193	2744
66	195	2724
67	198	2722
68	200	2710
69	203	2698
70	205	2687
71	206	2663
72	208	2652
73	212	2658
74	214	2650
75	218	2657
76	221	2655
77	224	2656
78	226	2644
79	229	2635
80	231	2627
81	234	2625
82	237	2624
83	239	2615
84	241	2603
85	244	2596
86	247	2594
87	250	2592
88	252	2582
89	254	2574
90	257	2572
91	259	2564
92	263	2570
93	266	2571
94	270	2575
95	273	2579
96	276	2577
97	280	2578
98	282	2570
99	284	2562
100	287	2562
101	289	2552
102	292	2543
103	294	2540
104	297	2533
105	300	2530
106	302	2522
107	304	2513
108	306	2507
109	309	2501
110	312	2503
111	315	2501
112	317	2495
113	320	2489
114	322	2482
115	325	2480
116	328	2475
117	330	2472
118	332	2464
119	335	2462
120	339	2462
121	341	2457
122	344	2453
123	346	2448
124	349	2444
125	351	2441
126	354	2437
127	356	2430
128	359	2428
129	362	2423
130	364	2421
131	367	2416
132	370	2412
133	372	2408
134	375	2403
135	377	2401
136	380	2395
137	382	2391
138	385	2384
139	387	2377
140	390	2378
141	392	2371
142	394	2365
143	396	2359
144	399	2355
145	402	2355
146	404	2348
147	406	2341
148	408	2335
149	410	2328
150	413	2324
151	416	2324
152	419	2322
153	421	2314
154	424	2313
155	427	2313
156	430	2312
157	432	2307
158	435	2301
159	437	2295
160	439	2290
161	442	2289
162	444	2283
163	446	2277
164	448	2271
165	451	2265
166	453	2263
167	456	2260
168	459	2257
169	461	2254
170	463	2246
171	466	2244
172	469	2245
173	472	2242
174	475	2239
175	477	2235
176	479	2231
177	483	2230
178	485	2227
179	489	2227
180	491	2226
181	495	2225
182	497	2221
183	499	2215
184	502	2213
185	505	2210
186	508	2210
187	510	2206
188	513	2201
189	516	2200
190	520	2204
191	523	2201
192	525	2195
193	527	2190
194	530	2191
195	533	2188
196	535	2183
197	537	2175
198	539	2170
199	541	2165
200	543	2160
201	545	2156
202	547	2150
203	550	2147
204	552	2143
205	556	2143
206	557	2137
207	560	2132
208	562	2127
209	564	2122
210	567	2121
211	569	2116
212	571	2112
213	574	2111
214	577	2107
215	579	2103
216	581	2099
217	584	2095
218	586	2089
219	587	2084
220	590	2080
221	592	2075
222	594	2072
223	596	2067
224	598	2062
225	600	2057
226	602	2052
227	605	2049
228	607	2046
229	609	2041
230	611	2036
231	613	2032
232	616	2027
233	619	2026
234	620	2019
235	622	2013
236	624	2009
237	626	2004
238	628	2000
239	631	1998
240	633	1995
241	636	1992
242	637	1987
243	639	1982
244	642	1979
245	645	1979
246	647	1975
247	650	1971
248	652	1969
249	656	1969
250	658	1965
251	660	1961
252	662	1956
253	664	1952
254	666	1947
255	668	1944
256	671	1940
257	674	1938
258	676	1934
259	678	1931
260	681	1930
261	684	1927
262	686	1924
263	689	1922
264	691	1919
265	695	1918
266	698	1917
267	701	1914
268	703	1912
269	706	1910
270	710	1910
271	712	1907
272	715	1906
273	719	1905
274	722	1904
275	724	1901
276	727	1899
277	730	1896
278	734	1897
279	736	1894
280	739	1891
281	741	1888
282	745	1888
283	746	1882
284	749	1880
